team,season,game_date,points,is_home,goals_for,goals_against,cum_points,games_played,elimination_date,clinch_date,trade_deadline
ANA,20222023,2023-01-08,0,TRUE,1,7,28,41,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-11,0,TRUE,2,6,28,42,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-13,0,TRUE,2,6,28,43,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-16,1,FALSE,3,4,29,44,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-17,0,FALSE,2,5,29,45,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-19,2,FALSE,5,3,31,46,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-21,0,FALSE,3,6,31,47,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-24,2,FALSE,5,2,33,48,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-26,2,FALSE,5,3,35,49,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-28,2,TRUE,2,1,37,50,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-06,1,FALSE,2,3,38,51,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-07,2,FALSE,3,2,40,52,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-10,0,TRUE,3,6,40,53,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-12,0,FALSE,2,7,40,54,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-15,0,TRUE,3,7,40,55,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-17,0,TRUE,3,6,40,56,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-20,1,FALSE,3,4,41,57,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-21,0,FALSE,1,6,41,58,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-23,2,FALSE,4,2,43,59,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-25,2,FALSE,3,2,45,60,2023-02-17,NA,2023-03-03
ANA,20222023,2023-02-27,2,TRUE,4,2,47,61,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-01,1,TRUE,2,3,48,62,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-03,2,TRUE,3,2,50,63,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-07,0,FALSE,2,5,50,64,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-08,1,FALSE,2,3,51,65,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-10,2,FALSE,3,1,53,66,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-12,1,TRUE,4,5,54,67,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-15,0,TRUE,3,6,54,68,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-17,2,TRUE,7,4,56,69,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-19,0,TRUE,1,2,56,70,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-21,0,TRUE,1,5,56,71,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-23,0,TRUE,2,3,56,72,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-25,0,TRUE,3,6,56,73,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-27,0,TRUE,1,5,56,74,2023-02-17,NA,2023-03-03
ANA,20222023,2023-03-30,0,FALSE,1,4,56,75,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-01,0,FALSE,0,6,56,76,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-02,0,FALSE,4,5,56,77,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-05,0,TRUE,1,3,56,78,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-08,1,FALSE,4,5,57,79,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-09,1,TRUE,4,5,58,80,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-11,0,TRUE,2,3,58,81,2023-02-17,NA,2023-03-03
ANA,20222023,2023-04-13,0,TRUE,3,5,58,82,2023-02-17,NA,2023-03-03
ANA,20232024,2023-10-14,0,FALSE,1,4,0,1,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-15,2,TRUE,6,3,2,2,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-19,0,TRUE,2,3,2,3,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-21,0,FALSE,1,2,2,4,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-22,0,TRUE,1,3,2,5,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-24,2,FALSE,3,2,4,6,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-26,2,FALSE,4,3,6,7,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-28,2,FALSE,7,4,8,8,2024-02-25,NA,2024-03-08
ANA,20232024,2023-10-30,2,FALSE,4,3,10,9,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-01,2,TRUE,4,3,12,10,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-05,2,TRUE,4,2,14,11,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-07,0,TRUE,0,2,14,12,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-10,0,TRUE,3,6,14,13,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-12,2,TRUE,4,1,16,14,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-14,2,FALSE,3,2,18,15,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-15,0,FALSE,2,8,18,16,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-17,0,TRUE,1,2,18,17,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-19,0,TRUE,1,3,18,18,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-22,0,TRUE,3,4,18,19,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-24,0,TRUE,2,5,18,20,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-26,0,FALSE,2,8,18,21,2024-02-25,NA,2024-03-08
ANA,20232024,2023-11-28,0,FALSE,1,3,18,22,2024-02-25,NA,2024-03-08
